ID,Year,HostCountry,MatchType,MatchPeriod,FirstBattingCountry,SecondBattingCountry,FirstBattingCountryScore,SecondBattingCountryScore,WinningCountry,WCC,Margin,MarginType,Series,SeasonWinner
'1',2023,'India','Final','Day Night','India','Australia',240,241,'Australia',AUS,6,'wickets','ICC Cricket World Cup','Australia'
'2',2023,'India','2nd Semi-Final','Day Night','South Africa','Australia',212,215,'Australia',AUS,3,'wickets','ICC Cricket World Cup','Australia'
'3',2023,'India','1st Semi-Final','Day Night','India','New Zealand',397,327,'India',IND,70,'runs','ICC Cricket World Cup','Australia'
'4',2023,'India','League','Day Night','India','Netherlands',410,250,'India',IND,160,'runs','ICC Cricket World Cup','Australia'
'5',2023,'India','League','Day Night','England','Pakistan',337,244,'England',ENG,93,'runs','ICC Cricket World Cup','Australia'
'6',2023,'India','League','Day','Bangladesh','Australia',306,307,'Australia',AUS,8,'wickets','ICC Cricket World Cup','Australia'
'7',2023,'India','League','Day Night','Afghanistan','South Africa',244,247,'South Africa',SAF,5,'wickets','ICC Cricket World Cup','Australia'
'8',2023,'India','League','Day Night','Sri Lanka','New Zealand',171,172,'New Zealand',NZ,5,'wickets','ICC Cricket World Cup','Australia'
'9',2023,'India','League','Day Night','England','Netherlands',339,179,'England',ENG,160,'runs','ICC Cricket World Cup','Australia'
'10',2023,'India','League','Day Night','Afghanistan','Australia',291,293,'Australia',AUS,3,'wickets','ICC Cricket World Cup','Australia'
'11',2023,'India','League','Day Night','Sri Lanka','Bangladesh',279,282,'Bangladesh',BAN,3,'wickets','ICC Cricket World Cup','Australia'
'12',2023,'India','League','Day Night','India','South Africa',326,83,'India',IND,243,'runs','ICC Cricket World Cup','Australia'
'13',2023,'India','League','Day Night','Australia','England',286,253,'Australia',AUS,33,'runs','ICC Cricket World Cup','Australia'
'14',2023,'India','League','Day','New Zealand','Pakistan',401,200,'Pakistan',PAK,21,'runs','ICC Cricket World Cup','Australia'
'15',2023,'India','League','Day Night','Netherlands','Afghanistan',179,181,'Afghanistan',AFG,7,'wickets','ICC Cricket World Cup','Australia'
'16',2023,'India','League','Day Night','India','Sri Lanka',357,55,'India',IND,302,'runs','ICC Cricket World Cup','Australia'
'17',2023,'India','League','Day Night','South Africa','New Zealand',357,167,'South Africa',SAF,190,'runs','ICC Cricket World Cup','Australia'
'18',2023,'India','League','Day Night','Bangladesh','Pakistan',204,205,'Pakistan',PAK,7,'wickets','ICC Cricket World Cup','Australia'
'19',2023,'India','League','Day Night','Sri Lanka','Afghanistan',241,242,'Afghanistan',AFG,7,'wickets','ICC Cricket World Cup','Australia'
'20',2023,'India','League','Day Night','India','England',229,129,'India',IND,100,'runs','ICC Cricket World Cup','Australia'
'21',2023,'India','League','Day','Australia','New Zealand',388,383,'Australia',AUS,5,'runs','ICC Cricket World Cup','Australia'
'22',2023,'India','League','Day Night','Netherlands','Bangladesh',229,142,'Netherlands',NET,87,'runs','ICC Cricket World Cup','Australia'
'23',2023,'India','League','Day Night','Pakistan','South Africa',270,271,'South Africa',SAF,1,'wickets','ICC Cricket World Cup','Australia'
'24',2023,'India','League','Day Night','England','Sri Lanka',156,160,'Sri Lanka',SRI,8,'wickets','ICC Cricket World Cup','Australia'
'25',2023,'India','League','Day Night','Australia','Netherlands',399,90,'Australia',AUS,309,'runs','ICC Cricket World Cup','Australia'
'26',2023,'India','League','Day Night','South Africa','Bangladesh',382,233,'South Africa',SAF,149,'runs','ICC Cricket World Cup','Australia'
'27',2023,'India','League','Day Night','Pakistan','Afghanistan',282,286,'Afghanistan',AFG,8,'wickets','ICC Cricket World Cup','Australia'
'28',2023,'India','League','Day Night','New Zealand','India',273,274,'India',IND,4,'wickets','ICC Cricket World Cup','Australia'
'29',2023,'India','League','Day Night','South Africa','England',399,170,'South Africa',SAF,229,'runs','ICC Cricket World Cup','Australia'
'30',2023,'India','League','Day','Netherlands','Sri Lanka',262,263,'Sri Lanka',SRI,5,'wickets','ICC Cricket World Cup','Australia'
'31',2023,'India','League','Day Night','Australia','Pakistan',367,305,'Australia',AUS,62,'runs','ICC Cricket World Cup','Australia'
'32',2023,'India','League','Day Night','Bangladesh','India',256,261,'India',IND,7,'wickets','ICC Cricket World Cup','Australia'
'33',2023,'India','League','Day Night','New Zealand','Afghanistan',288,139,'New Zealand',NZ,149,'runs','ICC Cricket World Cup','Australia'
'34',2023,'India','League','Day Night','Netherlands','South Africa',245,207,'Netherlands',NET,38,'runs','ICC Cricket World Cup','Australia'
'35',2023,'India','League','Day Night','Sri Lanka','Australia',209,215,'Australia',AUS,5,'wickets','ICC Cricket World Cup','Australia'
'36',2023,'India','League','Day Night','Afghanistan','England',284,215,'Afghanistan',AFG,69,'runs','ICC Cricket World Cup','Australia'
'37',2023,'India','League','Day Night','Pakistan','India',191,192,'India',IND,7,'wickets','ICC Cricket World Cup','Australia'
'38',2023,'India','League','Day Night','Bangladesh','New Zealand',245,248,'New Zealand',NZ,8,'wickets','ICC Cricket World Cup','Australia'
'39',2023,'India','League','Day Night','South Africa','Australia',311,177,'South Africa',SAF,134,'runs','ICC Cricket World Cup','Australia'
'40',2023,'India','League','Day Night','Afghanistan','India',272,273,'India',IND,8,'wickets','ICC Cricket World Cup','Australia'
'41',2023,'India','League','Day Night','Sri Lanka','Pakistan',344,345,'Pakistan',PAK,6,'wickets','ICC Cricket World Cup','Australia'
'42',2023,'India','League','Day','England','Bangladesh',364,227,'England',ENG,137,'runs','ICC Cricket World Cup','Australia'
'43',2023,'India','League','Day Night','New Zealand','Netherlands',322,223,'New Zealand',NZ,99,'runs','ICC Cricket World Cup','Australia'
'44',2023,'India','League','Day Night','Australia','India',199,201,'India',IND,6,'wickets','ICC Cricket World Cup','Australia'
'45',2023,'India','League','Day Night','South Africa','Sri Lanka',428,326,'South Africa',SAF,102,'runs','ICC Cricket World Cup','Australia'
'46',2023,'India','League','Day','Afghanistan','Bangladesh',156,158,'Bangladesh',BAN,6,'wickets','ICC Cricket World Cup','Australia'
'47',2023,'India','League','Day Night','Pakistan','Netherlands',286,205,'Pakistan',PAK,81,'runs','ICC Cricket World Cup','Australia'
'48',2023,'India','League','Day Night','England','New Zealand',282,283,'New Zealand',NZ,9,'wickets','ICC Cricket World Cup','Australia'
'50',2019,'England','2nd Semi-final','Day','Australia','England',223,226,'England',ENG,8,'wickets','ICC Cricket World Cup','England'
'51',2019,'England','1st Semi-final','Day','New Zealand','India',239,221,'New Zealand',NZ,18,'runs','ICC Cricket World Cup','England'
'52',2019,'England','League','Day Night','South Africa','Australia',325,315,'South Africa',SAF,10,'runs','ICC Cricket World Cup','England'
'53',2019,'England','League','Day','Sri Lanka','India',264,265,'India',IND,7,'wickets','ICC Cricket World Cup','England'
'54',2019,'England','League','Day','Pakistan','Bangladesh',315,221,'Pakistan',PAK,94,'runs','ICC Cricket World Cup','England'
'55',2019,'England','League','Day','West Indies','Afghanistan',311,288,'West Indies',WIN,23,'runs','ICC Cricket World Cup','England'
'56',2019,'England','League','Day','England','New Zealand',305,186,'England',ENG,119,'runs','ICC Cricket World Cup','England'
'57',2019,'England','League','Day','India','Bangladesh',314,286,'India',IND,28,'runs','ICC Cricket World Cup','England'
'58',2019,'England','League','Day','Sri Lanka','West Indies',338,315,'Sri Lanka',SRI,23,'runs','ICC Cricket World Cup','England'
'59',2019,'England','League','Day','England','India',337,306,'England',ENG,31,'runs','ICC Cricket World Cup','England'
'60',2019,'England','League','Day','Afghanistan','Pakistan',227,230,'Pakistan',PAK,3,'wickets','ICC Cricket World Cup','England'
'61',2019,'England','League','Day Night','Australia','New Zealand',243,157,'Australia',AUS,86,'runs','ICC Cricket World Cup','England'
'62',2019,'England','League','Day','Sri Lanka','South Africa',203,206,'South Africa',SAF,9,'wickets','ICC Cricket World Cup','England'
'63',2019,'England','League','Day','India','West Indies',268,143,'India',IND,125,'runs','ICC Cricket World Cup','England'
'64',2019,'England','League','Day','New Zealand','Pakistan',237,241,'Pakistan',PAK,6,'wickets','ICC Cricket World Cup','England'
'65',2019,'England','League','Day','Australia','England',285,221,'Australia',AUS,64,'runs','ICC Cricket World Cup','England'
'66',2019,'England','League','Day','Bangladesh','Afghanistan',262,200,'Bangladesh',BAN,62,'runs','ICC Cricket World Cup','England'
'67',2019,'England','League','Day','Pakistan','South Africa',308,259,'Pakistan',PAK,49,'runs','ICC Cricket World Cup','England'
'68',2019,'England','League','Day Night','New Zealand','West Indies',291,286,'New Zealand',NZ,5,'runs','ICC Cricket World Cup','England'
'69',2019,'England','League','Day','India','Afghanistan',224,213,'India',IND,11,'runs','ICC Cricket World Cup','England'
'70',2019,'England','League','Day','Sri Lanka','England',232,212,'Sri Lanka',SRI,20,'runs','ICC Cricket World Cup','England'
'71',2019,'England','League','Day','Australia','Bangladesh',381,333,'Australia',AUS,48,'runs','ICC Cricket World Cup','England'
'72',2019,'England','League','Day','South Africa','New Zealand',241,245,'New Zealand',NZ,4,'wickets','ICC Cricket World Cup','England'
'73',2019,'England','League','Day','England','Afghanistan',397,247,'England',ENG,150,'runs','ICC Cricket World Cup','England'
'74',2019,'England','League','Day','West Indies','Bangladesh',321,322,'Bangladesh',BAN,7,'wickets','ICC Cricket World Cup','England'
'75',2019,'England','League','Day','India','Pakistan',336,212,'India',IND,89,'runs','ICC Cricket World Cup','England'
'76',2019,'England','League','Day Night','Afghanistan','South Africa',125,131,'South Africa',SAF,9,'wickets','ICC Cricket World Cup','England'
'77',2019,'England','League','Day','Australia','Sri Lanka',334,247,'Australia',AUS,87,'runs','ICC Cricket World Cup','England'
'78',2019,'England','League','Day','West Indies','England',212,213,'England',ENG,8,'wickets','ICC Cricket World Cup','England'
'80',2019,'England','League','Day','Australia','Pakistan',307,266,'Australia',AUS,41,'runs','ICC Cricket World Cup','England'
'83',2019,'England','League','Day','India','Australia',352,316,'India',IND,36,'runs','ICC Cricket World Cup','England'
'84',2019,'England','League','Day','England','Bangladesh',386,280,'England',ENG,106,'runs','ICC Cricket World Cup','England'
'85',2019,'England','League','Day Night','Afghanistan','New Zealand',172,173,'New Zealand',NZ,7,'wickets','ICC Cricket World Cup','England'
'87',2019,'England','League','Day','Australia','West Indies',288,273,'Australia',AUS,15,'runs','ICC Cricket World Cup','England'
'88',2019,'England','League','Day Night','Bangladesh','New Zealand',244,248,'New Zealand',NZ,2,'wickets','ICC Cricket World Cup','England'
'89',2019,'England','League','Day','South Africa','India',227,230,'India',IND,6,'wickets','ICC Cricket World Cup','England'
'90',2019,'England','League','Day','Sri Lanka','Afghanistan',201,152,'Sri Lanka',SRI,34,'runs','ICC Cricket World Cup','England'
'91',2019,'England','League','Day','Pakistan','England',348,334,'Pakistan',PAK,14,'runs','ICC Cricket World Cup','England'
'92',2019,'England','League','Day','Bangladesh','South Africa',330,309,'Bangladesh',BAN,21,'runs','ICC Cricket World Cup','England'
'93',2019,'England','League','Day','Sri Lanka','New Zealand',136,137,'New Zealand',NZ,10,'wickets','ICC Cricket World Cup','England'
'94',2019,'England','League','Day Night','Afghanistan','Australia',207,209,'Australia',AUS,7,'wickets','ICC Cricket World Cup','England'
'95',2019,'England','League','Day','Pakistan','West Indies',105,108,'West Indies',WIN,7,'wickets','ICC Cricket World Cup','England'
'96',2019,'England','League','Day','England','South Africa',311,207,'England',ENG,104,'runs','ICC Cricket World Cup','England'
'97',2015,'Australia/New Zealand','Final','Day Night','New Zealand','Australia',183,186,'Australia',AUS,7,'wickets','ICC Cricket World Cup','Australia'
'98',2015,'Australia/New Zealand','2nd Semi-Final','Day Night','Australia','India',328,233,'Australia',AUS,95,'runs','ICC Cricket World Cup','Australia'
'99',2015,'Australia/New Zealand','1st Semi-Final','Day Night','South Africa','New Zealand',281,299,'New Zealand',NZ,4,'wickets','ICC Cricket World Cup','Australia'
'100',2015,'Australia/New Zealand','4th Quarter-Final','Day Night','New Zealand','West Indies',393,250,'New Zealand',NZ,143,'runs','ICC Cricket World Cup','Australia'
'101',2015,'Australia/New Zealand','3rd Quarter-Final','Day Night','Pakistan','Australia',213,216,'Australia',AUS,6,'wickets','ICC Cricket World Cup','Australia'
'102',2015,'Australia/New Zealand','2nd Quarter-Final','Day Night','India','Bangladesh',302,193,'India',IND,109,'runs','ICC Cricket World Cup','Australia'
'103',2015,'Australia/New Zealand','1st Quarter-Final','Day Night','Sri Lanka','South Africa',133,134,'South Africa',SAF,9,'wickets','ICC Cricket World Cup','Australia'
'104',2015,'Australia/New Zealand','Pool','Day Night','Ireland','Pakistan',237,241,'Pakistan',PAK,7,'wickets','ICC Cricket World Cup','Australia'
'105',2015,'Australia/New Zealand','Pool','Day','UAE','West Indies',175,176,'West Indies',WIN,6,'wickets','ICC Cricket World Cup','Australia'
'106',2015,'Australia/New Zealand','Pool','Day Night','Zimbabwe','India',287,288,'India',IND,6,'wickets','ICC Cricket World Cup','Australia'
'107',2015,'Australia/New Zealand','Pool','Day Night','Scotland','Australia',130,133,'Australia',AUS,7,'wickets','ICC Cricket World Cup','Australia'
'108',2015,'Australia/New Zealand','Pool','Day Night','Bangladesh','New Zealand',288,290,'New Zealand',NZ,3,'wickets','ICC Cricket World Cup','Australia'
'109',2015,'Australia/New Zealand','Pool','Day Night','Afghanistan','England',111,101,'England',ENG,9,'wickets','ICC Cricket World Cup','Australia'
'110',2015,'Australia/New Zealand','Pool','Day Night','South Africa','UAE',341,195,'South Africa',SAF,146,'runs','ICC Cricket World Cup','Australia'
'111',2015,'Australia/New Zealand','Pool','Day Night','Sri Lanka','Scotland',363,215,'Sri Lanka',SRI,148,'runs','ICC Cricket World Cup','Australia'
'112',2015,'Australia/New Zealand','Pool','Day Night','Ireland','India',259,260,'India',IND,8,'wickets','ICC Cricket World Cup','Australia'
'113',2015,'Australia/New Zealand','Pool','Day Night','Bangladesh','England',275,260,'Bangladesh',BAN,15,'runs','ICC Cricket World Cup','Australia'
'114',2015,'Australia/New Zealand','Pool','Day Night','Australia','Sri Lanka',376,312,'Australia',AUS,64,'runs','ICC Cricket World Cup','Australia'
'115',2015,'Australia/New Zealand','Pool','Day','Afghanistan','New Zealand',186,188,'New Zealand',NZ,6,'wickets','ICC Cricket World Cup','Australia'
